epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,10315.7,0.55952,0.4334,1.03253,0.94947,0.89334,0.92217,0.83003,0.45246,0.33016,0.93811,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
33,10632.9,0.55775,0.42497,1.03135,0.95227,0.89282,0.91978,0.83201,0.45278,0.3317,0.93907,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
34,10949.6,0.55003,0.42259,1.02776,0.95699,0.88783,0.91988,0.83418,0.45023,0.3335,0.93679,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
35,11265.8,0.54478,0.40962,1.0241,0.95741,0.88708,0.91942,0.83677,0.44377,0.33429,0.9314,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
36,11583.4,0.53714,0.40664,1.02243,0.95474,0.88811,0.9214,0.83656,0.44406,0.33058,0.93249,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
37,11900.4,0.53079,0.40062,1.01708,0.96343,0.88293,0.9202,0.83717,0.44215,0.33331,0.93027,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
38,12218.1,0.53523,0.39976,1.01745,0.95825,0.88874,0.92162,0.83688,0.44092,0.32947,0.92935,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
39,12534.4,0.5316,0.39243,1.01371,0.96259,0.8864,0.92248,0.83724,0.44151,0.32367,0.92953,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
40,12850.6,0.52732,0.38828,1.01205,0.96291,0.88482,0.92256,0.83719,0.43855,0.32179,0.92941,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
41,13166.9,0.52015,0.38035,1.00671,0.9574,0.88948,0.92198,0.83895,0.43891,0.32103,0.92926,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
