epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7005.73,0.61498,0.51092,1.06194,0.95729,0.87112,0.91374,0.81165,0.48609,0.38224,0.96504,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
33,7223.76,0.61193,0.50273,1.0621,0.96486,0.86293,0.91102,0.8112,0.48441,0.38366,0.96349,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
34,7532.94,0.6065,0.49877,1.05707,0.95747,0.87093,0.91192,0.81495,0.48196,0.38168,0.96295,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
35,7785.7,0.60085,0.48913,1.05596,0.95808,0.86788,0.91042,0.81519,0.48039,0.38075,0.96513,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
36,8046.51,0.59321,0.48273,1.05175,0.94795,0.87577,0.90951,0.81359,0.47801,0.37615,0.96236,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
37,8296.31,0.58785,0.48089,1.0469,0.96683,0.86832,0.91016,0.81362,0.47867,0.37515,0.96231,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
38,8559.38,0.59127,0.47618,1.04717,0.95422,0.87329,0.91124,0.81518,0.47798,0.37031,0.9613,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
39,8815.5,0.58698,0.46916,1.04437,0.94364,0.87969,0.90986,0.81458,0.47717,0.37103,0.96072,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
40,9108.89,0.58329,0.46739,1.04241,0.94086,0.88157,0.9123,0.81527,0.47636,0.37205,0.95981,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
41,9323.86,0.57645,0.45613,1.03799,0.95762,0.86953,0.91294,0.81795,0.47363,0.37343,0.95675,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
42,9538.97,0.5759,0.45754,1.03951,0.96318,0.87132,0.91241,0.82001,0.47245,0.37153,0.95621,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
43,9752.88,0.57774,0.45612,1.03918,0.95842,0.87382,0.91381,0.82136,0.4711,0.36815,0.95533,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
44,9966.85,0.57021,0.44653,1.03407,0.95306,0.8805,0.91321,0.82033,0.47106,0.36739,0.95507,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
45,10181.2,0.57169,0.44961,1.03772,0.9556,0.87981,0.91343,0.82032,0.47084,0.36666,0.95471,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
46,10394.3,0.56092,0.43907,1.03153,0.95359,0.88002,0.91274,0.81941,0.47182,0.36671,0.95565,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
47,10608.8,0.5608,0.43397,1.02811,0.95055,0.88375,0.91318,0.82064,0.47145,0.36515,0.95647,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
48,10823.6,0.56106,0.43569,1.02962,0.95463,0.88041,0.91404,0.82194,0.47035,0.36515,0.95579,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
49,11037.9,0.55637,0.42891,1.02865,0.95898,0.87684,0.91377,0.82164,0.46986,0.3632,0.95548,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
50,11256.1,0.55396,0.42655,1.0262,0.96004,0.87426,0.91364,0.82178,0.46932,0.36224,0.9548,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
51,11492.9,0.4499,0.33261,0.96432,0.9554,0.87863,0.91407,0.82335,0.468,0.36094,0.95296,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
52,11698,0.44118,0.32119,0.95842,0.94931,0.88432,0.91478,0.82374,0.46667,0.35948,0.95138,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
53,11902.6,0.43579,0.31459,0.9546,0.95085,0.88765,0.91444,0.8256,0.46484,0.35897,0.94985,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
54,12106.8,0.43035,0.30698,0.95087,0.95205,0.88808,0.91469,0.8263,0.46283,0.35871,0.94851,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
55,12311.5,0.42832,0.30238,0.94809,0.95421,0.88834,0.91484,0.82854,0.46091,0.35817,0.94726,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
56,12514.9,0.42134,0.29692,0.94539,0.95408,0.88835,0.91539,0.82868,0.45929,0.35787,0.94617,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
57,12718.6,0.41937,0.29541,0.94485,0.95609,0.88788,0.91537,0.82903,0.45829,0.35694,0.94567,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
58,12922.2,0.41433,0.28758,0.93898,0.9555,0.88797,0.91576,0.82923,0.45787,0.3568,0.94519,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
59,13127,0.41073,0.28243,0.93728,0.95636,0.8877,0.91548,0.82992,0.45764,0.35682,0.94515,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
60,13333.1,0.40741,0.28123,0.93554,0.95686,0.88679,0.91528,0.82995,0.45738,0.35695,0.94494,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
